bank,id,name,pitch_keys,coarse_semitones,fine_cents,primary_hz,alternate_hz,status
01,006F,(Ref) Outside Count 9,0x2B,0,0,22050,,ROM-derived
01,0070,(Ref) Outside Count 10,0x2B,0,0,22050,,ROM-derived
01,0071,(Ref) Outside Count 11,0x2B,0,0,22050,,ROM-derived
01,0072,(Ref) Outside Count 12,0x2B,0,0,22050,,ROM-derived
01,0073,(Ref) Outside Count 13,0x2B,0,0,22050,,ROM-derived
01,0074,(Ref) Outside Count 14,0x2B,0,0,22050,,ROM-derived
01,0075,(Ref) Outside Count 15,0x2B,0,0,22050,,ROM-derived
01,0076,(Ref) Outside Count 16,0x2B,0,0,22050,,ROM-derived
01,0077,(Ref) Outside Count 17,0x2B,0,0,22050,,ROM-derived
01,0078,(Ref) Outside Count 18,0x2B,0,0,22050,,ROM-derived
01,0079,(Ref) Outside Count 19,0x2B,0,0,22050,,ROM-derived
01,007A,(Ref) Outside Count 20,0x2B,0,0,22050,,ROM-derived
01,007B,(Ref) Fight!,0x2B,0,0,22050,,ROM-derived
01,007C,(Ref) Give Up?,0x2B,0,0,22050,,ROM-derived
01,007D,(Ref) Break!,0x2B,0,0,22050,,ROM-derived
01,007E,(Ref) Pinfall 1,0x2B,0,0,22050,,ROM-derived
01,007F,(Ref) Pinfall 2,0x2B,0,0,22050,,ROM-derived
01,0080,(Ref) Pinfall 3 [22050] --------------------------------------------------------------------------------,0x2B,0,0,22050,,ROM-derived
01,0081,,,0,0,,,No fixed script reference
01,0082,,,0,0,,,No fixed script reference
01,0083,,,0,0,,,No fixed script reference
01,0084,,0x2E,0,0,26222,,ROM-derived
01,0085,,0x30,0,0,29433,,ROM-derived
01,0086,,,0,0,,,No fixed script reference
01,0087,,0x24 0x26,0,0,14717,16519,ROM-derived
01,0088,,0x26,0,0,16519,,ROM-derived
01,0089,,0x26,0,0,16519,,ROM-derived
01,008A,,0x2A 0x2C,0,0,20812,23361,ROM-derived
01,008B,,0x2A 0x2C,0,0,20812,23361,ROM-derived
01,008C,,0x2C 0x2A,0,0,23361,20812,ROM-derived
01,008D,,0x2C,0,0,23361,,ROM-derived
01,008E,,0x2C,0,0,23361,,ROM-derived
01,008F,,0x21,0,0,12375,,ROM-derived
01,0090,,0x2C,0,0,23361,,ROM-derived
01,0091,,0x2C,0,0,23361,,ROM-derived
01,0092,,0x2C,0,0,23361,,ROM-derived
01,0093,,,127,0,,,No fixed script reference
01,0094,,,127,0,,,No fixed script reference
